,Matchid,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,Players_12,Players_13,Players_14,Players_15,Players_16,Players_17,Players_18,Players_19,Players_20,Players_21,Players_22,,Runs_1,Over_1
65,1034823,JJ Roy,SW Billings,JM Bairstow,EJG Morgan,JC Buttler,BA Stokes,MM Ali,CR Woakes,LE Plunkett,DJ Willey,JT Ball,AM Rahane,KL Rahul,V Kohli,Yuvraj Singh,MS Dhoni,KM Jadhav,HH Pandya,RA Jadeja,R Ashwin,B Kumar,JJ Bumrah,,-,-
66,1040491,Mohammad Shahzad,Noor Ali Zadran,Rahmat Shah,Asghar Stanikzai,Hashmatullah Shahidi,Samiullah Shenwari,Mohammad Nabi,Gulbadin Naib,Dawlat Zadran,Amir Hamza,Rashid Khan,EC Joyce,PR Stirling,WTS Porterfield,NJ O'Brien,KJ O'Brien,GC Wilson,SR Thompson,GH Dockrell,TJ Murtagh,J Mulder,PKD Chase,,-,-
67,1040493,Mohammad Shahzad,Noor Ali Zadran,Rahmat Shah,Asghar Stanikzai,Samiullah Shenwari,Mohammad Nabi,Shafiqullah,Gulbadin Naib,Rashid Khan,Dawlat Zadran,Amir Hamza,EC Joyce,PR Stirling,WTS Porterfield,NJ O'Brien,A Balbirnie,GC Wilson,SR Thompson,AR McBrine,GH Dockrell,TJ Murtagh,PKD Chase,,-,-
68,1040495,Mohammad Shahzad,Noor Ali Zadran,Rahmat Shah,Asghar Stanikzai,Samiullah Shenwari,Mohammad Nabi,Gulbadin Naib,Rashid Khan,Shafiqullah,Dawlat Zadran,Amir Hamza,EC Joyce,PR Stirling,WTS Porterfield,NJ O'Brien,A Balbirnie,GC Wilson,PKD Chase,TJ Murtagh,GH Dockrell,SR Thompson,AR McBrine,,-,-
69,1040497,Mohammad Shahzad,Usman Ghani,Rahmat Shah,Asghar Stanikzai,Hashmatullah Shahidi,Gulbadin Naib,Mohammad Nabi,Rashid Khan,Shafiqullah,Dawlat Zadran,Amir Hamza,EC Joyce,PR Stirling,WTS Porterfield,A Balbirnie,KJ O'Brien,GC Wilson,SR Thompson,AR McBrine,GH Dockrell,TJ Murtagh,J Mulder,,-,-
70,1040499,EC Joyce,PR Stirling,WTS Porterfield,NJ O'Brien,A Balbirnie,GC Wilson,SR Thompson,AR McBrine,GH Dockrell,TJ Murtagh,J Mulder,Mohammad Shahzad,Najeeb Tarakai,Rahmat Shah,Asghar Stanikzai,Samiullah Shenwari,Fareed Ahmad,Dawlat Zadran,Gulbadin Naib,Mohammad Nabi,Rashid Khan,-,,-,-
71,1041523,L Lee,A Steyn,M du Preez,CL Tryon,M Kapp,S Luus,S Jafta,D van Niekerk,A Khaka,M Daniels,MM Letsoalo,Sharmin Sultana,Sharmin Akhter,Fargana Hoque,Rumana Ahmed,Nigar Sultana,Salma Khatun,Shaila Sharmin,Jahanara Alam,Nahida Akter,Khadija Tul Kubra,Panna Ghosh,,-,-
72,1041525,Sharmin Sultana,Sharmin Akhter,Shaila Sharmin,Rumana Ahmed,Nigar Sultana,Salma Khatun,Fargana Hoque,Lata Mondal,Jahanara Alam,Panna Ghosh,Khadija Tul Kubra,L Lee,A Steyn,M du Preez,CL Tryon,M Daniels,Y Fourie,O Kirsten,MM Letsoalo,D van Niekerk,-,-,,-,-
73,1043953,L Lee,S Luus,M du Preez,D van Niekerk,M Kapp,D Devnarain,CL Tryon,A Khaka,M Daniels,-,-,NE Bolton,EJ Villani,MM Lanning,EA Perry,AJ Blackwell,JL Jonassen,AJ Healy,GM Harris,ML Schutt,KM Beams,HL Ferling,,-,-
74,1043955,NE Bolton,EJ Villani,MM Lanning,EA Perry,AJ Healy,GM Harris,JL Jonassen,KM Beams,RM Farrell,HL Ferling,-,L Lee,S Luus,D Devnarain,M du Preez,D van Niekerk,CL Tryon,M Kapp,A Khaka,M Daniels,A Bosch,-,,-,-
75,1043961,NE Bolton,BL Mooney,MM Lanning,EA Perry,AJ Blackwell,JL Jonassen,EJ Villani,AJ Healy,GM Harris,ML Schutt,A Wellington,L Lee,S Luus,L Goodall,M du Preez,D Devnarain,M Kapp,CL Tryon,A Bosch,A Khaka,M Daniels,M Klaas,,-,-
